2026-05-01	Leviticus 23	Psalm 113	Acts 24
2026-05-02	Leviticus 24	Psalm 114	Acts 25
2026-05-03	Leviticus 25	Psalm 115	Acts 26
2026-05-04	Leviticus 26	Psalm 116	Acts 27
2026-05-05	Leviticus 27	Psalm 117	Acts 28
2026-05-06	Numbers 1	Psalm 118	Romans 1
2026-05-07	Numbers 2	Psalm 119	Romans 2
2026-05-08	Numbers 3	Psalm 120	Romans 3
2026-05-09	Numbers 4	Psalm 121	Romans 4
2026-05-10	Numbers 5	Psalm 122	Romans 5
2026-05-11	Numbers 6	Psalm 123	Romans 6
2026-05-12	Numbers 7	Psalm 124	Romans 7
2026-05-13	Numbers 8	Psalm 125	Romans 8
2026-05-14	Numbers 9	Psalm 126	Romans 9
2026-05-15	Numbers 10	Psalm 127	Romans 10
2026-05-16	Numbers 11	Psalm 128	Romans 11
2026-05-17	Numbers 12	Psalm 129	Romans 12
2026-05-18	Numbers 13	Psalm 130	Romans 13
2026-05-19	Numbers 14	Psalm 131	Romans 14
2026-05-20	Numbers 15	Psalm 132	Romans 15
2026-05-21	Numbers 16	Psalm 133	Romans 16
2026-05-22	Numbers 17	Psalm 134	1 Corinthians 1
2026-05-23	Numbers 18	Psalm 135	1 Corinthians 2
2026-05-24	Numbers 19	Psalm 136	1 Corinthians 3
2026-05-25	Numbers 20	Psalm 137	1 Corinthians 4
2026-05-26	Numbers 21	Psalm 138	1 Corinthians 5
2026-05-27	Numbers 22	Psalm 139	1 Corinthians 6
2026-05-28	Numbers 23	Psalm 140	1 Corinthians 7
2026-05-29	Numbers 24	Psalm 141	1 Corinthians 8
2026-05-30	Numbers 25	Psalm 142	1 Corinthians 9
2026-05-31	Numbers 26	Psalm 143	1 Corinthians 10
2026-06-01	Numbers 27	Psalm 144	1 Corinthians 11
2026-06-02	Numbers 28	Psalm 145	1 Corinthians 12
2026-06-03	Numbers 29	Psalm 146	1 Corinthians 13
2026-06-04	Numbers 30	Psalm 147	1 Corinthians 14
2026-06-05	Numbers 31	Psalm 148	1 Corinthians 15
2026-06-06	Numbers 32	Psalm 149	1 Corinthians 16
2026-06-07	Numbers 33	Psalm 150	2 Corinthians 1
2026-06-08	Numbers 34	Proverbs 1	2 Corinthians 2
2026-06-09	Numbers 35	Proverbs 2	2 Corinthians 3
2026-06-10	Numbers 36	Proverbs 3	2 Corinthians 4
2026-06-11	Deuteronomy 1	Proverbs 4	2 Corinthians 5
2026-06-12	Deuteronomy 2	Proverbs 5	2 Corinthians 6
2026-06-13	Deuteronomy 3	Proverbs 6	2 Corinthians 7
2026-06-14	Deuteronomy 4	Proverbs 7	2 Corinthians 8
2026-06-15	Deuteronomy 5	Proverbs 8	2 Corinthians 9
2026-06-16	Deuteronomy 6	Proverbs 9	2 Corinthians 10
2026-06-17	Deuteronomy 7	Proverbs 10	2 Corinthians 11
2026-06-18	Deuteronomy 8	Proverbs 11	2 Corinthians 12
2026-06-19	Deuteronomy 9	Proverbs 12	2 Corinthians 13
2026-06-20	Deuteronomy 10	Proverbs 13	Galatians 1
2026-06-21	Deuteronomy 11	Proverbs 14	Galatians 2
2026-06-22	Deuteronomy 12	Proverbs 15	Galatians 3
2026-06-23	Deuteronomy 13	Proverbs 16	Galatians 4
2026-06-24	Deuteronomy 14	Proverbs 17	Galatians 5
2026-06-25	Deuteronomy 15	Proverbs 18	Galatians 6
2026-06-26	Deuteronomy 16	Proverbs 19	Ephesians 1
2026-06-27	Deuteronomy 17	Proverbs 20	Ephesians 2
2026-06-28	Deuteronomy 18	Proverbs 21	Ephesians 3
2026-06-29	Deuteronomy 19	Proverbs 22	Ephesians 4
2026-06-30	Deuteronomy 20	Proverbs 23	Ephesians 5
2026-07-01	Deuteronomy 21	Proverbs 24	Ephesians 6
2026-07-02	Deuteronomy 22	Proverbs 25	Philippians 1
2026-07-03	Deuteronomy 23	Proverbs 26	Philippians 2
2026-07-04	Deuteronomy 24	Proverbs 27	Philippians 3
2026-07-05	Deuteronomy 25	Proverbs 28	Philippians 4
2026-07-06	Deuteronomy 26	Proverbs 29	Colossians 1
2026-07-07	Deuteronomy 27	Proverbs 30	Colossians 2
2026-07-08	Deuteronomy 28	Proverbs 31	Colossians 3
2026-07-09	Deuteronomy 29	Ecclesiastes 1	Colossians 4
2026-07-10	Deuteronomy 30	Ecclesiastes 2	1 Thessalonians 1
2026-07-11	Deuteronomy 31	Ecclesiastes 3	1 Thessalonians 2
2026-07-12	Deuteronomy 32	Ecclesiastes 4	1 Thessalonians 3
2026-07-13	Deuteronomy 33	Ecclesiastes 5	1 Thessalonians 4
2026-07-14	Deuteronomy 34	Ecclesiastes 6	1 Thessalonians 5
2026-07-15	Joshua 1	Ecclesiastes 7	2 Thessalonians 1
2026-07-16	Joshua 2	Ecclesiastes 8	2 Thessalonians 2
2026-07-17	Joshua 3	Ecclesiastes 9	2 Thessalonians 3
2026-07-18	Joshua 4	Ecclesiastes 10	1 Timothy 1
2026-07-19	Joshua 5	Ecclesiastes 11	1 Timothy 2
2026-07-20	Joshua 6	Ecclesiastes 12	1 Timothy 3
2026-07-21	Joshua 7	Song of Songs 1	1 Timothy 4
2026-07-22	Joshua 8	Song of Songs 2	1 Timothy 5
2026-07-23	Joshua 9	Song of Songs 3	1 Timothy 6
2026-07-24	Joshua 10	Song of Songs 4	2 Timothy 1
2026-07-25	Joshua 11	Song of Songs 5	2 Timothy 2
2026-07-26	Joshua 12	Song of Songs 6	2 Timothy 3
2026-07-27	Joshua 13	Song of Songs 7	2 Timothy 4
2026-07-28	Joshua 14	Song of Songs 8	Titus 1
2026-07-29	Joshua 15	Isaiah 1	Titus 2
2026-07-30	Joshua 16	Isaiah 2	Titus 3
2026-07-31	Joshua 17	Isaiah 3	Philemon 1
2026-08-01	Joshua 18	Isaiah 4	Hebrews 1
2026-08-02	Joshua 19	Isaiah 5	Hebrews 2
2026-08-03	Joshua 20	Isaiah 6	Hebrews 3
2026-08-04	Joshua 21	Isaiah 7	Hebrews 4
2026-08-05	Joshua 22	Isaiah 8	Hebrews 5
2026-08-06	Joshua 23	Isaiah 9	Hebrews 6
2026-08-07	Joshua 24	Isaiah 10	Hebrews 7
2026-08-08	Judges 1	Isaiah 11	Hebrews 8
2026-08-09	Judges 2	Isaiah 12	Hebrews 9
2026-08-10	Judges 3	Isaiah 13	Hebrews 10
2026-08-11	Judges 4	Isaiah 14	Hebrews 11
2026-08-12	Judges 5	Isaiah 15	Hebrews 12
2026-08-13	Judges 6	Isaiah 16	Hebrews 13
2026-08-14	Judges 7	Isaiah 17	James 1
2026-08-15	Judges 8	Isaiah 18	James 2
2026-08-16	Judges 9	Isaiah 19	James 3
2026-08-17	Judges 10	Isaiah 20	James 4
2026-08-18	Judges 11	Isaiah 21	James 5
2026-08-19	Judges 12	Isaiah 22	1 Peter 1
2026-08-20	Judges 13	Isaiah 23	1 Peter 2
2026-08-21	Judges 14	Isaiah 24	1 Peter 3
2026-08-22	Judges 15	Isaiah 25	1 Peter 4
2026-08-23	Judges 16	Isaiah 26	1 Peter 5
2026-08-24	Judges 17	Isaiah 27	2 Peter 1
2026-08-25	Judges 18	Isaiah 28	2 Peter 2
2026-08-26	Judges 19	Isaiah 29	2 Peter 3
2026-08-27	Judges 20	Isaiah 30	1 John 1
2026-08-28	Judges 21	Isaiah 31	1 John 2
2026-08-29	Ruth 1	Isaiah 32	1 John 3
2026-08-30	Ruth 2	Isaiah 33	1 John 4
2026-08-31	Ruth 3	Isaiah 34	1 John 5
2026-09-01	Ruth 4	Isaiah 35	2 John 1
2026-09-02	1 Samuel 1	Isaiah 36	3 John 1
2026-09-03	1 Samuel 2	Isaiah 37	Jude 1
2026-09-04	1 Samuel 3	Isaiah 38	Revelation 1
2026-09-05	1 Samuel 4	Isaiah 39	Revelation 2
2026-09-06	1 Samuel 5	Isaiah 40	Revelation 3
2026-09-07	1 Samuel 6	Isaiah 41	Revelation 4
2026-09-08	1 Samuel 7	Isaiah 42	Revelation 5
2026-09-09	1 Samuel 8	Isaiah 43	Revelation 6
2026-09-10	1 Samuel 9	Isaiah 44	Revelation 7
2026-09-11	1 Samuel 10	Isaiah 45	Revelation 8
2026-09-12	1 Samuel 11	Isaiah 46	Revelation 9
2026-09-13	1 Samuel 12	Isaiah 47	Revelation 10
2026-09-14	1 Samuel 13	Isaiah 48	Revelation 11
2026-09-15	1 Samuel 14	Isaiah 49	Revelation 12
2026-09-16	1 Samuel 15	Isaiah 50	Revelation 13
2026-09-17	1 Samuel 16	Isaiah 51	Revelation 14
2026-09-18	1 Samuel 17	Isaiah 52	Revelation 15
2026-09-19	1 Samuel 18	Isaiah 53	Revelation 16
2026-09-20	1 Samuel 19	Isaiah 54	Revelation 17
2026-09-21	1 Samuel 20	Isaiah 55	Revelation 18
2026-09-22	1 Samuel 21	Isaiah 56	Revelation 19
2026-09-23	1 Samuel 22	Isaiah 57	Revelation 20
2026-09-24	1 Samuel 23	Isaiah 58	Revelation 21
2026-09-25	1 Samuel 24	Isaiah 59	Revelation 22
2026-09-26	1 Samuel 25	1 Samuel 26	Isaiah 60
2026-09-27	1 Samuel 27	Isaiah 61	Isaiah 62
2026-09-28	1 Samuel 28	1 Samuel 29	Isaiah 63
2026-09-29	1 Samuel 30	Isaiah 64	Isaiah 65
2026-09-30	1 Samuel 31	2 Samuel 1	Isaiah 66
2026-10-01	2 Samuel 2	Jeremiah 1	Jeremiah 2
2026-10-02	2 Samuel 3	2 Samuel 4	Jeremiah 3
2026-10-03	2 Samuel 5	Jeremiah 4	Jeremiah 5
2026-10-04	2 Samuel 6	2 Samuel 7	Jeremiah 6
2026-10-05	2 Samuel 8	Jeremiah 7	Jeremiah 8
2026-10-06	2 Samuel 9	2 Samuel 10	Jeremiah 9
2026-10-07	2 Samuel 11	Jeremiah 10	Jeremiah 11
2026-10-08	2 Samuel 12	2 Samuel 13	Jeremiah 12
2026-10-09	2 Samuel 14	Jeremiah 13	Jeremiah 14
2026-10-10	2 Samuel 15	2 Samuel 16	Jeremiah 15
2026-10-11	2 Samuel 17	Jeremiah 16	Jeremiah 17
2026-10-12	2 Samuel 18	2 Samuel 19	Jeremiah 18
2026-10-13	2 Samuel 20	Jeremiah 19	Jeremiah 20
2026-10-14	2 Samuel 21	2 Samuel 22	Jeremiah 21
2026-10-15	2 Samuel 23	Jeremiah 22	Jeremiah 23
2026-10-16	2 Samuel 24	1 Kings 1	Jeremiah 24
2026-10-17	1 Kings 2	Jeremiah 25	Jeremiah 26
2026-10-18	1 Kings 3	1 Kings 4	Jeremiah 27
2026-10-19	1 Kings 5	Jeremiah 28	Jeremiah 29
2026-10-20	1 Kings 6	1 Kings 7	Jeremiah 30
2026-10-21	1 Kings 8	Jeremiah 31	Jeremiah 32
2026-10-22	1 Kings 9	1 Kings 10	Jeremiah 33
2026-10-23	1 Kings 11	Jeremiah 34	Jeremiah 35
2026-10-24	1 Kings 12	1 Kings 13	Jeremiah 36
2026-10-25	1 Kings 14	Jeremiah 37	Jeremiah 38
2026-10-26	1 Kings 15	1 Kings 16	Jeremiah 39
2026-10-27	1 Kings 17	Jeremiah 40	Jeremiah 41
2026-10-28	1 Kings 18	1 Kings 19	Jeremiah 42
2026-10-29	1 Kings 20	Jeremiah 43	Jeremiah 44
2026-10-30	1 Kings 21	1 Kings 22	Jeremiah 45
2026-10-31	2 Kings 1	Jeremiah 46	Jeremiah 47
2026-11-01	2 Kings 2	2 Kings 3	Jeremiah 48
2026-11-02	2 Kings 4	Jeremiah 49	Jeremiah 50
2026-11-03	2 Kings 5	2 Kings 6	Jeremiah 51
2026-11-04	2 Kings 7	Jeremiah 52	Lamentations 1
2026-11-05	2 Kings 8	2 Kings 9	Lamentations 2
2026-11-06	2 Kings 10	Lamentations 3	Lamentations 4
2026-11-07	2 Kings 11	2 Kings 12	Lamentations 5
2026-11-08	2 Kings 13	Ezekiel 1	Ezekiel 2
2026-11-09	2 Kings 14	2 Kings 15	Ezekiel 3
2026-11-10	2 Kings 16	Ezekiel 4	Ezekiel 5
2026-11-11	2 Kings 17	2 Kings 18	Ezekiel 6
2026-11-12	2 Kings 19	Ezekiel 7	Ezekiel 8
2026-11-13	2 Kings 20	2 Kings 21	Ezekiel 9
2026-11-14	2 Kings 22	Ezekiel 10	Ezekiel 11
2026-11-15	2 Kings 23	2 Kings 24	Ezekiel 12
2026-11-16	2 Kings 25	Ezekiel 13	Ezekiel 14
2026-11-17	1 Chronicles 1	1 Chronicles 2	Ezekiel 15
2026-11-18	1 Chronicles 3	Ezekiel 16	Ezekiel 17
2026-11-19	1 Chronicles 4	1 Chronicles 5	Ezekiel 18
2026-11-20	1 Chronicles 6	Ezekiel 19	Ezekiel 20
2026-11-21	1 Chronicles 7	1 Chronicles 8	Ezekiel 21
2026-11-22	1 Chronicles 9	Ezekiel 22	Ezekiel 23
2026-11-23	1 Chronicles 10	1 Chronicles 11	Ezekiel 24
2026-11-24	1 Chronicles 12	Ezekiel 25	Ezekiel 26
2026-11-25	1 Chronicles 13	1 Chronicles 14	Ezekiel 27
2026-11-26	1 Chronicles 15	Ezekiel 28	Ezekiel 29
2026-11-27	1 Chronicles 16	1 Chronicles 17	Ezekiel 30
2026-11-28	1 Chronicles 18	Ezekiel 31	Ezekiel 32
2026-11-29	1 Chronicles 19	1 Chronicles 20	Ezekiel 33
2026-11-30	1 Chronicles 21	Ezekiel 34	Ezekiel 35
2026-12-01	1 Chronicles 22	1 Chronicles 23	Ezekiel 36
2026-12-02	1 Chronicles 24	Ezekiel 37	Ezekiel 38
2026-12-03	1 Chronicles 25	1 Chronicles 26	Ezekiel 39
2026-12-04	1 Chronicles 27	Ezekiel 40	Ezekiel 41
2026-12-05	1 Chronicles 28	1 Chronicles 29	Ezekiel 42
2026-12-06	2 Chronicles 1	Ezekiel 43	Ezekiel 44
2026-12-07	2 Chronicles 2	2 Chronicles 3	Ezekiel 45
2026-12-08	2 Chronicles 4	Ezekiel 46	Ezekiel 47
2026-12-09	2 Chronicles 5	2 Chronicles 6	Ezekiel 48
2026-12-10	2 Chronicles 7	Daniel 1	Daniel 2
2026-12-11	2 Chronicles 8	2 Chronicles 9	Daniel 3
2026-12-12	2 Chronicles 10	Daniel 4	Daniel 5
2026-12-13	2 Chronicles 11	2 Chronicles 12	Daniel 6
2026-12-14	2 Chronicles 13	Daniel 7	Daniel 8
2026-12-15	2 Chronicles 14	2 Chronicles 15	Daniel 9
2026-12-16	2 Chronicles 16	Daniel 10	Daniel 11
2026-12-17	2 Chronicles 17	2 Chronicles 18	Daniel 12
2026-12-18	2 Chronicles 19	Hosea 1	Hosea 2
2026-12-19	2 Chronicles 20	2 Chronicles 21	Hosea 3
2026-12-20	2 Chronicles 22	Hosea 4	Hosea 5
2026-12-21	2 Chronicles 23	2 Chronicles 24	Hosea 6
2026-12-22	2 Chronicles 25	Hosea 7	Hosea 8
2026-12-23	2 Chronicles 26	2 Chronicles 27	Hosea 9
2026-12-24	2 Chronicles 28	Hosea 10	Hosea 11
2026-12-25	2 Chronicles 29	2 Chronicles 30	Hosea 12
2026-12-26	2 Chronicles 31	Hosea 13	Hosea 14
2026-12-27	2 Chronicles 32	2 Chronicles 33	Joel 1
2026-12-28	2 Chronicles 34	Joel 2	Joel 3
2026-12-29	2 Chronicles 35	2 Chronicles 36	Amos 1
2026-12-30	Ezra 1	Amos 2	Amos 3
2026-12-31	Ezra 2	Ezra 3	Amos 4
2027-01-01	Ezra 4	Amos 5	Amos 6
2027-01-02	Ezra 5	Ezra 6	Amos 7
2027-01-03	Ezra 7	Amos 8	Amos 9
2027-01-04	Ezra 8	Ezra 9	Obadiah 1
2027-01-05	Ezra 10	Jonah 1	Jonah 2
2027-01-06	Nehemiah 1	Nehemiah 2	Jonah 3
2027-01-07	Nehemiah 3	Jonah 4	Micah 1
2027-01-08	Nehemiah 4	Nehemiah 5	Micah 2
2027-01-09	Nehemiah 6	Micah 3	Micah 4
2027-01-10	Nehemiah 7	Nehemiah 8	Micah 5
2027-01-11	Nehemiah 9	Micah 6	Micah 7
2027-01-12	Nehemiah 10	Nehemiah 11	Nahum 1
2027-01-13	Nehemiah 12	Nahum 2	Nahum 3
2027-01-14	Nehemiah 13	Esther 1	Habakkuk 1
2027-01-15	Esther 2	Habakkuk 2	Habakkuk 3
2027-01-16	Esther 3	Esther 4	Zephaniah 1
2027-01-17	Esther 5	Zephaniah 2	Zephaniah 3
2027-01-18	Esther 6	Esther 7	Haggai 1
2027-01-19	Esther 8	Haggai 2	Zechariah 1
2027-01-20	Esther 9	Esther 10	Zechariah 2
2027-01-21	Job 1	Zechariah 3	Zechariah 4
2027-01-22	Job 2	Job 3	Zechariah 5
2027-01-23	Job 4	Zechariah 6	Zechariah 7
2027-01-24	Job 5	Job 6	Zechariah 8
2027-01-25	Job 7	Zechariah 9	Zechariah 10
2027-01-26	Job 8	Job 9	Zechariah 11
2027-01-27	Job 10	Zechariah 12	Zechariah 13
2027-01-28	Job 11	Job 12	Zechariah 14
2027-01-29	Job 13	Malachi 1	Malachi 2
2027-01-30	Job 14	Job 15	Malachi 3
2027-01-31	Job 16	Job 17	Malachi 4
2027-02-01	Job 18	Job 19	Job 20
2027-02-02	Job 21	Job 22	Job 23
2027-02-03	Job 24	Job 25	Job 26
2027-02-04	Job 27	Job 28	Job 29
2027-02-05	Job 30	Job 31	Job 32
2027-02-06	Job 33	Job 34	Job 35
2027-02-07	Job 36	Job 37	Job 38
2027-02-08	Job 39	Job 40	Job 41
2027-02-09	Job 42
